1644515895111	PolyGesture	InputEvent	BeginBatchEdit

1644515895112	PolyGesture	InputEvent	BeginBatchEdit

1644515895112	PolyGesture	InputEvent	BeginBatchEdit

1644515895113	PolyGesture	InputEvent	BeginBatchEdit

1644515895114	PolyGesture	InputEvent	BeginBatchEdit

1644515895122	PolyGesture	InputEvent	BeginBatchEdit

1644515895123	PolyGesture	InputEvent	BeginBatchEdit

1644515895124	PolyGesture	InputEvent	BeginBatchEdit

1644515895126	PolyGesture	InputEvent	BeginBatchEdit

1644515895127	PolyGesture	InputEvent	BeginBatchEdit

1644515895127	PolyGesture	InputEvent	BeginBatchEdit

1644515895143	PolyGesture	InputEvent	BeginBatchEdit

1644515895143	PolyGesture	InputEvent	BeginBatchEdit

1644515895145	PolyGesture	InputEvent	BeginBatchEdit

1644515895146	PolyGesture	InputEvent	BeginBatchEdit

1644515895147	PolyGesture	InputEvent	BeginBatchEdit

1644515895173	PolyGesture	InputEvent	BeginBatchEdit

1644515895350	PolyGesture	InputEvent	BeginBatchEdit

1644515895352	PolyGesture	InputEvent	BeginBatchEdit

1644515895677	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=672.0, y[0]=549.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90089800, downTime=90089800, deviceId=6, source=0x1002, displayId=0 }
1644515895779	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=672.0, y[0]=549.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90089910, downTime=90089800, deviceId=6, source=0x1002, displayId=0 }
1644515895789	PolyGesture	InputEvent	SelectionChanged 484 484

1644515895817	PolyGesture	InputEvent	BeginBatchEdit

1644515895828	PolyGesture	InputEvent	BeginBatchEdit

1644515896036	PolyGesture	InputEvent	BeginBatchEdit

1644515896037	PolyGesture	InputEvent	BeginBatchEdit

1644515896057	PolyGesture	InputEvent	BeginBatchEdit

