1644166886659	PolyGesture	InputEvent	BeginBatchEdit

1644166886660	PolyGesture	InputEvent	BeginBatchEdit

1644166886667	PolyGesture	InputEvent	BeginBatchEdit

1644166886668	PolyGesture	InputEvent	BeginBatchEdit

1644166886772	PolyGesture	InputEvent	BeginBatchEdit

1644166886776	PolyGesture	InputEvent	BeginBatchEdit

1644166886777	PolyGesture	InputEvent	BeginBatchEdit

1644166886782	PolyGesture	InputEvent	SelectionChanged 0 0

1644166886784	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644166886789	PolyGesture	InputEvent	SelectionChanged 313 313

1644166886789	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 313 1 0

1644166886793	PolyGesture	InputEvent	SelectionChanged 313 313

1644166886800	PolyGesture	InputEvent	BeginBatchEdit

1644166886804	PolyGesture	InputEvent	BeginBatchEdit

1644166886809	PolyGesture	InputEvent	BeginBatchEdit

1644166886824	PolyGesture	InputEvent	BeginBatchEdit

1644166886824	PolyGesture	InputEvent	BeginBatchEdit

1644166886826	PolyGesture	InputEvent	BeginBatchEdit

1644166886829	PolyGesture	InputEvent	BeginBatchEdit

1644166886830	PolyGesture	InputEvent	BeginBatchEdit

1644166886831	PolyGesture	InputEvent	BeginBatchEdit

1644166886832	PolyGesture	InputEvent	BeginBatchEdit

1644166886833	PolyGesture	InputEvent	BeginBatchEdit

1644166886846	PolyGesture	InputEvent	BeginBatchEdit

1644166887034	PolyGesture	InputEvent	BeginBatchEdit

1644166887036	PolyGesture	InputEvent	BeginBatchEdit

1644166887340	PolyGesture	InputEvent	BeginBatchEdit

1644166887349	PolyGesture	InputEvent	SelectionChanged 0 0

1644166887352	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beXwhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 514 514

1644166887357	PolyGesture	InputEvent	SelectionChanged 312 312

1644166887358	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beXwhen he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 312 1 0

1644166887361	PolyGesture	InputEvent	SelectionChanged 312 312

1644166887368	PolyGesture	InputEvent	BeginBatchEdit

1644166887372	PolyGesture	InputEvent	BeginBatchEdit

1644166887373	PolyGesture	InputEvent	BeginBatchEdit

1644166887382	PolyGesture	InputEvent	BeginBatchEdit

1644166887384	PolyGesture	InputEvent	BeginBatchEdit

1644166887386	PolyGesture	InputEvent	BeginBatchEdit

1644166887386	PolyGesture	InputEvent	BeginBatchEdit

1644166887388	PolyGesture	InputEvent	BeginBatchEdit

1644166887389	PolyGesture	InputEvent	BeginBatchEdit

1644166887391	PolyGesture	InputEvent	BeginBatchEdit

1644166887393	PolyGesture	InputEvent	BeginBatchEdit

1644166887393	PolyGesture	InputEvent	BeginBatchEdit

1644166887549	PolyGesture	InputEvent	BeginBatchEdit

1644166887551	PolyGesture	InputEvent	BeginBatchEdit

1644166887576	PolyGesture	InputEvent	BeginBatchEdit

1644166887582	PolyGesture	InputEvent	SelectionChanged 0 0

