1644605869485	PolyGesture	InputEvent	BeginBatchEdit

1644605869485	PolyGesture	InputEvent	BeginBatchEdit

1644605869487	PolyGesture	InputEvent	BeginBatchEdit

1644605869488	PolyGesture	InputEvent	BeginBatchEdit

1644605869488	PolyGesture	InputEvent	BeginBatchEdit

1644605869489	PolyGesture	InputEvent	BeginBatchEdit

1644605869690	PolyGesture	InputEvent	BeginBatchEdit

1644605870891	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=841.0, y[0]=288.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31121808, downTime=31121808, deviceId=4, source=0x1002, displayId=0 }
1644605870988	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=841.0, y[0]=288.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31121898, downTime=31121808, deviceId=4, source=0x1002, displayId=0 }
1644605870996	PolyGesture	InputEvent	SelectionChanged 262 262

1644605871022	PolyGesture	InputEvent	BeginBatchEdit

1644605871051	PolyGesture	InputEvent	BeginBatchEdit

1644605871247	PolyGesture	InputEvent	BeginBatchEdit

1644605871248	PolyGesture	InputEvent	BeginBatchEdit

1644605871285	PolyGesture	InputEvent	BeginBatchEdit

1644605872464	PolyGesture	InputEvent	SelectionChanged 263 263

1644605872492	PolyGesture	InputEvent	BeginBatchEdit

1644605872506	PolyGesture	InputEvent	BeginBatchEdit

1644605872707	PolyGesture	InputEvent	BeginBatchEdit

1644605872709	PolyGesture	InputEvent	BeginBatchEdit

1644605872735	PolyGesture	InputEvent	SelectionChanged 109 109

1644605872746	PolyGesture	InputEvent	BeginBatchEdit

1644605872764	PolyGesture	InputEvent	BeginBatchEdit

1644605872966	PolyGesture	InputEvent	BeginBatchEdit

1644605872969	PolyGesture	InputEvent	BeginBatchEdit

1644605872989	PolyGesture	InputEvent	BeginBatchEdit

1644605875695	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=839.0, y[0]=300.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31126613, downTime=31126613, deviceId=4, source=0x1002, displayId=0 }
1644605875770	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=839.0, y[0]=300.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31126695, downTime=31126613, deviceId=4, source=0x1002, displayId=0 }
1644605875781	PolyGesture	InputEvent	SelectionChanged 262 262

1644605875805	PolyGesture	InputEvent	BeginBatchEdit

1644605875832	PolyGesture	InputEvent	BeginBatchEdit

1644605876036	PolyGesture	InputEvent	BeginBatchEdit

1644605876038	PolyGesture	InputEvent	BeginBatchEdit

1644605876063	PolyGesture	InputEvent	BeginBatchEdit

1644605876846	PolyGesture	InputEvent	SelectionChanged 263 263

1644605876868	PolyGesture	InputEvent	BeginBatchEdit

1644605876884	PolyGesture	InputEvent	BeginBatchEdit

1644605877086	PolyGesture	InputEvent	BeginBatchEdit

1644605877088	PolyGesture	InputEvent	BeginBatchEdit

1644605878354	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=733.0, y[0]=319.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31129270, downTime=31129270, deviceId=4, source=0x1002, displayId=0 }
1644605878371	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=733.0, y[0]=319.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=31129296, downTime=31129270, deviceId=4, source=0x1002, displayId=0 }
1644605878391	PolyGesture	InputEvent	SelectionChanged 258 258

1644605878396	PolyGesture	InputEvent	SelectionChanged 263 258

1644605878410	PolyGesture	InputEvent	BeginBatchEdit

1644605878412	PolyGesture	InputEvent	BeginBatchEdit

1644605878412	PolyGesture	InputEvent	BeginBatchEdit

1644605878414	PolyGesture	InputEvent	BeginBatchEdit

1644605878617	PolyGesture	InputEvent	BeginBatchEdit

1644605878619	PolyGesture	InputEvent	BeginBatchEdit

1644605878647	PolyGesture	InputEvent	BeginBatchEdit

1644605879344	PolyGesture	InputEvent	SelectionChanged 263 257

1644605879371	PolyGesture	InputEvent	BeginBatchEdit

1644605879374	PolyGesture	InputEvent	BeginBatchEdit

1644605879577	PolyGesture	InputEvent	BeginBatchEdit

1644605883895	PolyGesture	InputEvent	BeginBatchEdit

1644605883898	PolyGesture	InputEvent	SelectionChanged 263 263

1644605883904	PolyGesture	InputEvent	SelectionChanged 0 0

1644605883906	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1644605883910	PolyGesture	InputEvent	SelectionChanged 257 257

1644605883911	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1644605883915	PolyGesture	InputEvent	SelectionChanged 257 257

1644605883926	PolyGesture	InputEvent	BeginBatchEdit

1644605883930	PolyGesture	InputEvent	BeginBatchEdit

1644605883932	PolyGesture	InputEvent	BeginBatchEdit

1644605883937	PolyGesture	InputEvent	BeginBatchEdit

