
1647350577767	PolyGesture	InputEvent	SelectionChanged 257 257

1647350577782	PolyGesture	InputEvent	BeginBatchEdit

1647350577789	PolyGesture	InputEvent	BeginBatchEdit

1647350577789	PolyGesture	InputEvent	BeginBatchEdit

1647350577797	PolyGesture	InputEvent	BeginBatchEdit

1647350577799	PolyGesture	InputEvent	BeginBatchEdit

1647350577802	PolyGesture	InputEvent	BeginBatchEdit

1647350577804	PolyGesture	InputEvent	BeginBatchEdit

1647350578005	PolyGesture	InputEvent	BeginBatchEdit

1647350578696	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=193.0, y[0]=379.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430730647, downTime=430730647, deviceId=6, source=0x1002, displayId=0 }
1647350578741	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=193.0, y[0]=379.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=430730701, downTime=430730647, deviceId=6, source=0x1002, displayId=0 }
1647350578749	PolyGesture	InputEvent	SelectionChanged 447 447

1647350578776	PolyGesture	InputEvent	BeginBatchEdit

1647350578811	PolyGesture	InputEvent	BeginBatchEdit

1647350579003	PolyGesture	InputEvent	BeginBatchEdit

1647350580778	PolyGesture	InputEvent	SelectionChanged 447 446

1647350580793	PolyGesture	InputEvent	BeginBatchEdit

1647350580796	PolyGesture	InputEvent	BeginBatchEdit

1647350580930	PolyGesture	InputEvent	SelectionChanged 447 445

1647350580954	PolyGesture	InputEvent	BeginBatchEdit

1647350580958	PolyGesture	InputEvent	BeginBatchEdit

1647350581091	PolyGesture	InputEvent	SelectionChanged 447 444

1647350581110	PolyGesture	InputEvent	BeginBatchEdit

1647350581114	PolyGesture	InputEvent	BeginBatchEdit

1647350581256	PolyGesture	InputEvent	SelectionChanged 447 443

1647350581277	PolyGesture	InputEvent	BeginBatchEdit

1647350581280	PolyGesture	InputEvent	BeginBatchEdit

1647350581426	PolyGesture	InputEvent	SelectionChanged 447 442

1647350581444	PolyGesture	InputEvent	BeginBatchEdit

1647350581447	PolyGesture	InputEvent	BeginBatchEdit

1647350581650	PolyGesture	InputEvent	BeginBatchEdit

1647350581789	PolyGesture	InputEvent	SelectionChanged 447 441

1647350581806	PolyGesture	InputEvent	BeginBatchEdit

1647350581810	PolyGesture	InputEvent	BeginBatchEdit

1647350582012	PolyGesture	InputEvent	BeginBatchEdit

1647350583508	PolyGesture	InputEvent	BeginBatchEdit

1647350583510	PolyGesture	InputEvent	SelectionChanged 447 447

1647350583519	PolyGesture	InputEvent	SelectionChanged 0 0

1647350583522	PolyGesture	TaskCompleted	Cancella parola in 35"444 seconds (at 430735482, effective time: 31"343)

***************************************


