1643970811471	PolyGesture	InputEvent	BeginBatchEdit

1643970811471	PolyGesture	InputEvent	BeginBatchEdit

1643970811472	PolyGesture	InputEvent	BeginBatchEdit

1643970811472	PolyGesture	InputEvent	BeginBatchEdit

1643970811472	PolyGesture	InputEvent	BeginBatchEdit

1643970811497	PolyGesture	InputEvent	BeginBatchEdit

1643970811497	PolyGesture	InputEvent	BeginBatchEdit

1643970811499	PolyGesture	InputEvent	BeginBatchEdit

1643970811501	PolyGesture	InputEvent	BeginBatchEdit

1643970811504	PolyGesture	InputEvent	BeginBatchEdit

1643970811504	PolyGesture	InputEvent	BeginBatchEdit

1643970811505	PolyGesture	InputEvent	BeginBatchEdit

1643970811505	PolyGesture	InputEvent	BeginBatchEdit

1643970811517	PolyGesture	InputEvent	BeginBatchEdit

1643970811517	PolyGesture	InputEvent	BeginBatchEdit

1643970811561	PolyGesture	InputEvent	BeginBatchEdit

1643970811562	PolyGesture	InputEvent	BeginBatchEdit

1643970811568	PolyGesture	InputEvent	BeginBatchEdit

1643970811569	PolyGesture	InputEvent	BeginBatchEdit

1643970811571	PolyGesture	InputEvent	BeginBatchEdit

1643970811579	PolyGesture	InputEvent	SelectionChanged 0 0

1643970811581	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 532 532

1643970811586	PolyGesture	InputEvent	SelectionChanged 107 107

1643970811587	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 5 4

1643970811591	PolyGesture	InputEvent	SelectionChanged 107 107

1643970811603	PolyGesture	InputEvent	BeginBatchEdit

1643970811605	PolyGesture	InputEvent	BeginBatchEdit

1643970811605	PolyGesture	InputEvent	BeginBatchEdit

1643970811618	PolyGesture	InputEvent	BeginBatchEdit

1643970811619	PolyGesture	InputEvent	BeginBatchEdit

1643970811619	PolyGesture	InputEvent	BeginBatchEdit

1643970811619	PolyGesture	InputEvent	BeginBatchEdit

1643970811638	PolyGesture	InputEvent	BeginBatchEdit

1643970811641	PolyGesture	InputEvent	BeginBatchEdit

1643970811641	PolyGesture	InputEvent	BeginBatchEdit

1643970811643	PolyGesture	InputEvent	BeginBatchEdit

1643970811644	PolyGesture	InputEvent	BeginBatchEdit

1643970811645	PolyGesture	InputEvent	BeginBatchEdit

1643970811646	PolyGesture	InputEvent	BeginBatchEdit

1643970811647	PolyGesture	InputEvent	BeginBatchEdit

1643970811662	PolyGesture	InputEvent	BeginBatchEdit

1643970811664	PolyGesture	InputEvent	BeginBatchEdit

1643970811665	PolyGesture	InputEvent	BeginBatchEdit

1643970811673	PolyGesture	InputEvent	BeginBatchEdit

1643970811673	PolyGesture	InputEvent	BeginBatchEdit

1643970811727	PolyGesture	InputEvent	BeginBatchEdit

1643970811728	PolyGesture	InputEvent	BeginBatchEdit

1643970811741	PolyGesture	InputEvent	BeginBatchEdit

1643970811746	PolyGesture	InputEvent	SelectionChanged 0 0

