1643971190592	PolyGesture	InputEvent	BeginBatchEdit

1643971191316	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=778.0, y[0]=79.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82395088, downTime=82395088, deviceId=6, source=0x1002, displayId=0 }
1643971191349	PolyGesture	InputEvent	TouchEvent (cursorPosition=109): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=778.0, y[0]=79.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82395129, downTime=82395088, deviceId=6, source=0x1002, displayId=0 }
1643971191369	PolyGesture	InputEvent	SelectionChanged 104 104

1643971191371	PolyGesture	InputEvent	SelectionChanged 109 104

1643971191391	PolyGesture	InputEvent	BeginBatchEdit

1643971191394	PolyGesture	InputEvent	BeginBatchEdit

1643971191395	PolyGesture	InputEvent	BeginBatchEdit

1643971191396	PolyGesture	InputEvent	BeginBatchEdit

1643971191600	PolyGesture	InputEvent	BeginBatchEdit

1643971191601	PolyGesture	InputEvent	BeginBatchEdit

1643971191628	PolyGesture	InputEvent	BeginBatchEdit

1643971191932	PolyGesture	InputEvent	SelectionChanged 109 103

1643971191945	PolyGesture	InputEvent	BeginBatchEdit

1643971191947	PolyGesture	InputEvent	BeginBatchEdit

1643971192150	PolyGesture	InputEvent	BeginBatchEdit

1643971192721	PolyGesture	InputEvent	BeginBatchEdit

1643971192723	PolyGesture	InputEvent	SelectionChanged 109 109

1643971192733	PolyGesture	InputEvent	SelectionChanged 0 0

1643971192735	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1643971192740	PolyGesture	InputEvent	SelectionChanged 103 103

1643971192741	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1643971192746	PolyGesture	InputEvent	SelectionChanged 103 103

1643971192760	PolyGesture	InputEvent	BeginBatchEdit

1643971192764	PolyGesture	InputEvent	BeginBatchEdit

1643971192765	PolyGesture	InputEvent	BeginBatchEdit

1643971192771	PolyGesture	InputEvent	BeginBatchEdit

1643971192773	PolyGesture	InputEvent	BeginBatchEdit

1643971192776	PolyGesture	InputEvent	BeginBatchEdit

1643971192778	PolyGesture	InputEvent	BeginBatchEdit

1643971192979	PolyGesture	InputEvent	BeginBatchEdit

1643971193511	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=720.0, y[0]=215.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82397282, downTime=82397282, deviceId=6, source=0x1002, displayId=0 }
1643971193549	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=720.0, y[0]=215.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82397330, downTime=82397282, deviceId=6, source=0x1002, displayId=0 }
1643971193560	PolyGesture	InputEvent	SelectionChanged 263 263

1643971193579	PolyGesture	InputEvent	BeginBatchEdit

1643971193600	PolyGesture	InputEvent	BeginBatchEdit

1643971193805	PolyGesture	InputEvent	BeginBatchEdit

1643971193806	PolyGesture	InputEvent	BeginBatchEdit

1643971193829	PolyGesture	InputEvent	BeginBatchEdit

1643971194808	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=602.0, y[0]=216.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82398580, downTime=82398580, deviceId=6, source=0x1002, displayId=0 }
1643971194833	PolyGesture	InputEvent	TouchEvent (cursorPosition=263): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=602.0, y[0]=216.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82398614, downTime=82398580, deviceId=6, source=0x1002, displayId=0 }
1643971194853	PolyGesture	InputEvent	SelectionChanged 258 258

1643971194856	PolyGesture	InputEvent	SelectionChanged 263 258

1643971194874	PolyGesture	InputEvent	BeginBatchEdit

1643971194878	PolyGesture	InputEvent	BeginBatchEdit

1643971194879	PolyGesture	InputEvent	BeginBatchEdit

1643971194883	PolyGesture	InputEvent	BeginBatchEdit

1643971195084	PolyGesture	InputEvent	BeginBatchEdit

1643971195087	PolyGesture	InputEvent	BeginBatchEdit

1643971195113	PolyGesture	InputEvent	BeginBatchEdit

1643971195691	PolyGesture	InputEvent	SelectionChanged 263 257

1643971195707	PolyGesture	InputEvent	BeginBatchEdit

1643971195711	PolyGesture	InputEvent	BeginBatchEdit

1643971195912	PolyGesture	InputEvent	BeginBatchEdit

1643971196603	PolyGesture	InputEvent	BeginBatchEdit

1643971196606	PolyGesture	InputEvent	SelectionChanged 263 263

1643971196613	PolyGesture	InputEvent	SelectionChanged 0 0

1643971196615	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1643971196619	PolyGesture	InputEvent	SelectionChanged 257 257

1643971196619	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1643971196624	PolyGesture	InputEvent	SelectionChanged 257 257

1643971196637	PolyGesture	InputEvent	BeginBatchEdit

1643971196641	PolyGesture	InputEvent	BeginBatchEdit

1643971196644	PolyGesture	InputEvent	BeginBatchEdit

1643971196650	PolyGesture	InputEvent	BeginBatchEdit

1643971196652	PolyGesture	InputEvent	BeginBatchEdit

1643971196653	PolyGesture	InputEvent	BeginBatchEdit

1643971196654	PolyGesture	InputEvent	BeginBatchEdit

1643971196855	PolyGesture	InputEvent	BeginBatchEdit

1643971197386	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=201.0, y[0]=374.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82401158, downTime=82401158, deviceId=6, source=0x1002, displayId=0 }
1643971197433	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=201.0, y[0]=374.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82401214, downTime=82401158, deviceId=6, source=0x1002, displayId=0 }
1643971197444	PolyGesture	InputEvent	SelectionChanged 447 447

1643971197465	PolyGesture	InputEvent	BeginBatchEdit

1643971197487	PolyGesture	InputEvent	BeginBatchEdit

1643971197694	PolyGesture	InputEvent	BeginBatchEdit

1643971197696	PolyGesture	InputEvent	BeginBatchEdit

1643971197719	PolyGesture	InputEvent	BeginBatchEdit

