1647596455641	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=952.0, y[0]=427.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598946270, downTime=598946270, deviceId=6, source=0x1002, displayId=0 }
1647596455668	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=952.0, y[0]=427.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598946297, downTime=598946270, deviceId=6, source=0x1002, displayId=0 }
1647596455675	PolyGesture	InputEvent	SelectionChanged 494 494

1647596455700	PolyGesture	InputEvent	BeginBatchEdit

1647596455735	PolyGesture	InputEvent	BeginBatchEdit

1647596455927	PolyGesture	InputEvent	BeginBatchEdit

1647596455928	PolyGesture	InputEvent	BeginBatchEdit

1647596455948	PolyGesture	InputEvent	BeginBatchEdit

1647596459588	PolyGesture	InputEvent	TouchEvent (cursorPosition=494): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=961.0, y[0]=409.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598950217, downTime=598950217, deviceId=6, source=0x1002, displayId=0 }
1647596459620	PolyGesture	InputEvent	TouchEvent (cursorPosition=494): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=961.0, y[0]=409.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598950250, downTime=598950217, deviceId=6, source=0x1002, displayId=0 }
1647596459630	PolyGesture	InputEvent	SelectionChanged 438 438

1647596459651	PolyGesture	InputEvent	BeginBatchEdit

1647596459675	PolyGesture	InputEvent	BeginBatchEdit

1647596459880	PolyGesture	InputEvent	BeginBatchEdit

1647596459883	PolyGesture	InputEvent	BeginBatchEdit

1647596459901	PolyGesture	InputEvent	BeginBatchEdit

1647596460409	PolyGesture	InputEvent	SelectionChanged 437 437

1647596460420	PolyGesture	InputEvent	BeginBatchEdit

1647596460431	PolyGesture	InputEvent	BeginBatchEdit

1647596460438	PolyGesture	InputEvent	SelectionChanged 436 436

1647596460447	PolyGesture	InputEvent	BeginBatchEdit

1647596460462	PolyGesture	InputEvent	BeginBatchEdit

1647596460662	PolyGesture	InputEvent	BeginBatchEdit

1647596460664	PolyGesture	InputEvent	BeginBatchEdit

1647596467229	PolyGesture	InputEvent	BeginBatchEdit

1647596467232	PolyGesture	InputEvent	SelectionChanged 0 0

1647596467234	PolyGesture	TaskCompleted	Cancella carattere in 21"260 seconds (at 598957864, effective time: 20"310)

***************************************


1647596467241	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647596467246	PolyGesture	InputEvent	SelectionChanged 435 435

1647596467247	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647596467251	PolyGesture	InputEvent	SelectionChanged 435 435

1647596467259	PolyGesture	InputEvent	BeginBatchEdit

1647596467292	PolyGesture	InputEvent	BeginBatchEdit

1647596467292	PolyGesture	InputEvent	BeginBatchEdit

1647596467293	PolyGesture	InputEvent	BeginBatchEdit

1647596467302	PolyGesture	InputEvent	BeginBatchEdit

1647596467307	PolyGesture	InputEvent	BeginBatchEdit

1647596467310	PolyGesture	InputEvent	BeginBatchEdit

1647596467311	PolyGesture	InputEvent	BeginBatchEdit

1647596467312	PolyGesture	InputEvent	BeginBatchEdit

1647596467315	PolyGesture	InputEvent	BeginBatchEdit

1647596467317	PolyGesture	InputEvent	BeginBatchEdit

1647596467337	PolyGesture	InputEvent	BeginBatchEdit

1647596467517	PolyGesture	InputEvent	BeginBatchEdit

1647596467521	PolyGesture	InputEvent	BeginBatchEdit

1647596468050	PolyGesture	InputEvent	BeginBatchEdit

1647596468061	PolyGesture	InputEvent	BeginBatchEdit

1647596468684	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=598959310, downTime=598959310, deviceId=-1, source=0x101, displayId=0 }

1647596468688	PolyGesture	InputEvent	BeginBatchEdit

1647596468737	PolyGesture	InputEvent	WindowFocusChanged false

1647596468772	PolyGesture	InputEvent	BeginBatchEdit

1647596468772	PolyGesture	InputEvent	BeginBatchEdit

1647596469582	PolyGesture	InputEvent	SelectionChanged 0 0

1647596469582	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647596469587	PolyGesture	InputEvent	SelectionChanged 0 0

1647596469587	PolyGesture	InputEvent	SelectionChanged 0 0

1647596469588	PolyGesture	TaskStarted	Cancella parola

1647596469588	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647596469591	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647596469594	PolyGesture	InputEvent	SelectionChanged 534 534

1647596469607	PolyGesture	InputEvent	FocusChanged true 130 null

1647596469630	PolyGesture	InputEvent	WindowFocusChanged true

1647596469639	PolyGesture	InputEvent	BeginBatchEdit

1647596469640	PolyGesture	InputEvent	BeginBatchEdit

1647596470771	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=889.0, y[0]=140.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598961391, downTime=598961391, deviceId=6, source=0x1002, displayId=0 }
1647596470810	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=889.0, y[0]=140.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598961440, downTime=598961391, deviceId=6, source=0x1002, displayId=0 }
1647596470818	PolyGesture	InputEvent	SelectionChanged 108 108

1647596470838	PolyGesture	InputEvent	BeginBatchEdit

1647596470893	PolyGesture	InputEvent	BeginBatchEdit

1647596470893	PolyGesture	InputEvent	BeginBatchEdit

1647596470894	PolyGesture	InputEvent	BeginBatchEdit

1647596470914	PolyGesture	InputEvent	BeginBatchEdit

1647596470956	PolyGesture	InputEvent	BeginBatchEdit

1647596470981	PolyGesture	InputEvent	BeginBatchEdit

1647596471023	PolyGesture	InputEvent	BeginBatchEdit

1647596471023	PolyGesture	InputEvent	BeginBatchEdit

1647596471024	PolyGesture	InputEvent	BeginBatchEdit

1647596471035	PolyGesture	InputEvent	BeginBatchEdit

1647596471205	PolyGesture	InputEvent	BeginBatchEdit

1647596471207	PolyGesture	InputEvent	BeginBatchEdit

1647596471851	PolyGesture	InputEvent	SelectionChanged 109 109

1647596471865	PolyGesture	InputEvent	BeginBatchEdit

1647596471877	PolyGesture	InputEvent	BeginBatchEdit

1647596472077	PolyGesture	InputEvent	BeginBatchEdit

1647596472079	PolyGesture	InputEvent	BeginBatchEdit

1647596472975	PolyGesture	InputEvent	BeginBatchEdit

1647596472995	PolyGesture	InputEvent	SelectionChanged 0 0

1647596472998	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 533 533

1647596473006	PolyGesture	InputEvent	SelectionChanged 108 108

1647596473006	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 5

1647596473010	PolyGesture	InputEvent	SelectionChanged 108 108

1647596473028	PolyGesture	InputEvent	BeginBatchEdit

1647596473032	PolyGesture	InputEvent	BeginBatchEdit

1647596473033	PolyGesture	InputEvent	BeginBatchEdit

1647596473034	PolyGesture	InputEvent	BeginBatchEdit

1647596473052	PolyGesture	InputEvent	BeginBatchEdit

1647596473053	PolyGesture	InputEvent	BeginBatchEdit

1647596473054	PolyGesture	InputEvent	BeginBatchEdit

1647596473054	PolyGesture	InputEvent	BeginBatchEdit

1647596473077	PolyGesture	InputEvent	BeginBatchEdit

1647596473079	PolyGesture	InputEvent	BeginBatchEdit

1647596473081	PolyGesture	InputEvent	BeginBatchEdit

1647596473082	PolyGesture	InputEvent	BeginBatchEdit

1647596473085	PolyGesture	InputEvent	BeginBatchEdit

1647596473085	PolyGesture	InputEvent	BeginBatchEdit

1647596473086	PolyGesture	InputEvent	BeginBatchEdit

1647596473107	PolyGesture	InputEvent	BeginBatchEdit

1647596473110	PolyGesture	InputEvent	BeginBatchEdit

1647596473111	PolyGesture	InputEvent	BeginBatchEdit

1647596473112	PolyGesture	InputEvent	BeginBatchEdit

1647596473130	PolyGesture	InputEvent	BeginBatchEdit

1647596473204	PolyGesture	InputEvent	BeginBatchEdit

1647596473205	PolyGesture	InputEvent	BeginBatchEdit

1647596473206	PolyGesture	InputEvent	BeginBatchEdit

1647596473213	PolyGesture	InputEvent	SelectionChanged 0 0

1647596473216	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 532 532

1647596473223	PolyGesture	InputEvent	SelectionChanged 107 107

1647596473225	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 5 4

1647596473229	PolyGesture	InputEvent	SelectionChanged 107 107

1647596473242	PolyGesture	InputEvent	BeginBatchEdit

1647596473245	PolyGesture	InputEvent	BeginBatchEdit

1647596473246	PolyGesture	InputEvent	BeginBatchEdit

1647596473247	PolyGesture	InputEvent	BeginBatchEdit

1647596473262	PolyGesture	InputEvent	BeginBatchEdit

1647596473262	PolyGesture	InputEvent	BeginBatchEdit

1647596473263	PolyGesture	InputEvent	BeginBatchEdit

1647596473263	PolyGesture	InputEvent	BeginBatchEdit

1647596473274	PolyGesture	InputEvent	BeginBatchEdit

1647596473275	PolyGesture	InputEvent	BeginBatchEdit

1647596473277	PolyGesture	InputEvent	BeginBatchEdit

1647596473278	PolyGesture	InputEvent	BeginBatchEdit

1647596473280	PolyGesture	InputEvent	BeginBatchEdit

1647596473280	PolyGesture	InputEvent	BeginBatchEdit

1647596473281	PolyGesture	InputEvent	BeginBatchEdit

1647596473281	PolyGesture	InputEvent	BeginBatchEdit

1647596473296	PolyGesture	InputEvent	BeginBatchEdit

1647596473297	PolyGesture	InputEvent	BeginBatchEdit

1647596473297	PolyGesture	InputEvent	BeginBatchEdit

1647596473317	PolyGesture	InputEvent	BeginBatchEdit

1647596473385	PolyGesture	InputEvent	BeginBatchEdit

1647596473387	PolyGesture	InputEvent	BeginBatchEdit

1647596473388	PolyGesture	InputEvent	BeginBatchEdit

1647596473414	PolyGesture	InputEvent	SelectionChanged 0 0

1647596473416	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 531 531

1647596473423	PolyGesture	InputEvent	SelectionChanged 106 106

