1647595867307	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1647595867311	PolyGesture	InputEvent	SelectionChanged 435 435

1647595867312	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1647595867316	PolyGesture	InputEvent	SelectionChanged 435 435

1647595867326	PolyGesture	InputEvent	BeginBatchEdit

1647595867370	PolyGesture	InputEvent	BeginBatchEdit

1647595867370	PolyGesture	InputEvent	BeginBatchEdit

1647595867371	PolyGesture	InputEvent	BeginBatchEdit

1647595867382	PolyGesture	InputEvent	BeginBatchEdit

1647595867385	PolyGesture	InputEvent	BeginBatchEdit

1647595867388	PolyGesture	InputEvent	BeginBatchEdit

1647595867389	PolyGesture	InputEvent	BeginBatchEdit

1647595867390	PolyGesture	InputEvent	BeginBatchEdit

1647595867394	PolyGesture	InputEvent	BeginBatchEdit

1647595867395	PolyGesture	InputEvent	BeginBatchEdit

1647595867408	PolyGesture	InputEvent	BeginBatchEdit

1647595867595	PolyGesture	InputEvent	BeginBatchEdit

1647595867596	PolyGesture	InputEvent	BeginBatchEdit

1647595867903	PolyGesture	InputEvent	BeginBatchEdit

1647595867919	PolyGesture	InputEvent	BeginBatchEdit

1647595868273	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=598358899, downTime=598358899, deviceId=-1, source=0x101, displayId=0 }

1647595868277	PolyGesture	InputEvent	BeginBatchEdit

1647595868340	PolyGesture	InputEvent	WindowFocusChanged false

1647595868383	PolyGesture	InputEvent	BeginBatchEdit

1647595868384	PolyGesture	InputEvent	BeginBatchEdit

1647595869264	PolyGesture	InputEvent	SelectionChanged 0 0

1647595869265	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647595869352	PolyGesture	InputEvent	SelectionChanged 0 0

1647595869353	PolyGesture	InputEvent	SelectionChanged 0 0

1647595869353	PolyGesture	TaskStarted	Cancella parola

1647595869354	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1647595869357	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1647595869360	PolyGesture	InputEvent	SelectionChanged 534 534

1647595869390	PolyGesture	InputEvent	FocusChanged true 130 null

1647595869418	PolyGesture	InputEvent	WindowFocusChanged true

1647595870339	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=309.0, y[0]=126.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=598360958, downTime=598360958, deviceId=6, source=0x1002, displayId=0 }
