1644515460218	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644515460224	PolyGesture	InputEvent	SelectionChanged 103 103

1644515460225	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1644515460230	PolyGesture	InputEvent	SelectionChanged 103 103

1644515460242	PolyGesture	InputEvent	BeginBatchEdit

1644515460246	PolyGesture	InputEvent	BeginBatchEdit

1644515460247	PolyGesture	InputEvent	BeginBatchEdit

1644515460253	PolyGesture	InputEvent	BeginBatchEdit

1644515460254	PolyGesture	InputEvent	BeginBatchEdit

1644515460255	PolyGesture	InputEvent	BeginBatchEdit

1644515460257	PolyGesture	InputEvent	BeginBatchEdit

1644515460458	PolyGesture	InputEvent	BeginBatchEdit

1644515461016	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=697.0, y[0]=337.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89655138, downTime=89655138, deviceId=6, source=0x1002, displayId=0 }
1644515461069	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=697.0, y[0]=337.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89655201, downTime=89655138, deviceId=6, source=0x1002, displayId=0 }
1644515461080	PolyGesture	InputEvent	SelectionChanged 296 296

1644515461105	PolyGesture	InputEvent	BeginBatchEdit

1644515461133	PolyGesture	InputEvent	BeginBatchEdit

1644515461328	PolyGesture	InputEvent	BeginBatchEdit

1644515461330	PolyGesture	InputEvent	BeginBatchEdit

1644515461357	PolyGesture	InputEvent	BeginBatchEdit

1644515461866	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=692.0, y[0]=322.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89655989, downTime=89655989, deviceId=6, source=0x1002, displayId=0 }
1644515461913	PolyGesture	InputEvent	TouchEvent (cursorPosition=296): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=692.0, y[0]=322.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89656045, downTime=89655989, deviceId=6, source=0x1002, displayId=0 }
1644515461931	PolyGesture	InputEvent	SelectionChanged 257 257

1644515461957	PolyGesture	InputEvent	BeginBatchEdit

1644515461978	PolyGesture	InputEvent	BeginBatchEdit

1644515462176	PolyGesture	InputEvent	BeginBatchEdit

1644515462185	PolyGesture	InputEvent	BeginBatchEdit

1644515462213	PolyGesture	InputEvent	BeginBatchEdit

1644515463248	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=847.0, y[0]=316.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89657372, downTime=89657372, deviceId=6, source=0x1002, displayId=0 }
1644515463288	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=847.0, y[0]=316.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89657419, downTime=89657372, deviceId=6, source=0x1002, displayId=0 }
1644515463307	PolyGesture	InputEvent	SelectionChanged 262 262

1644515463310	PolyGesture	InputEvent	SelectionChanged 257 262

1644515463327	PolyGesture	InputEvent	BeginBatchEdit

1644515463330	PolyGesture	InputEvent	BeginBatchEdit

1644515463330	PolyGesture	InputEvent	BeginBatchEdit

1644515463332	PolyGesture	InputEvent	BeginBatchEdit

1644515463536	PolyGesture	InputEvent	BeginBatchEdit

1644515463537	PolyGesture	InputEvent	BeginBatchEdit

1644515463564	PolyGesture	InputEvent	BeginBatchEdit

1644515463973	PolyGesture	InputEvent	SelectionChanged 257 263

1644515463994	PolyGesture	InputEvent	BeginBatchEdit

1644515463997	PolyGesture	InputEvent	BeginBatchEdit

1644515464201	PolyGesture	InputEvent	BeginBatchEdit

1644515464611	PolyGesture	InputEvent	BeginBatchEdit

1644515464613	PolyGesture	InputEvent	SelectionChanged 263 263

1644515464623	PolyGesture	InputEvent	SelectionChanged 0 0

1644515464626	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1644515464632	PolyGesture	InputEvent	SelectionChanged 257 257

1644515464633	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1644515464638	PolyGesture	InputEvent	SelectionChanged 257 257

1644515464653	PolyGesture	InputEvent	BeginBatchEdit

1644515464657	PolyGesture	InputEvent	BeginBatchEdit

1644515464658	PolyGesture	InputEvent	BeginBatchEdit

1644515464667	PolyGesture	InputEvent	BeginBatchEdit

1644515464669	PolyGesture	InputEvent	BeginBatchEdit

1644515464670	PolyGesture	InputEvent	BeginBatchEdit

1644515464672	PolyGesture	InputEvent	BeginBatchEdit

1644515464872	PolyGesture	InputEvent	BeginBatchEdit

1644515465846	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=703.0, y[0]=548.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89659969, downTime=89659969, deviceId=6, source=0x1002, displayId=0 }
1644515465883	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=703.0, y[0]=548.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89660015, downTime=89659969, deviceId=6, source=0x1002, displayId=0 }
1644515465895	PolyGesture	InputEvent	SelectionChanged 487 487

1644515465928	PolyGesture	InputEvent	BeginBatchEdit

1644515465955	PolyGesture	InputEvent	BeginBatchEdit

1644515466162	PolyGesture	InputEvent	BeginBatchEdit

1644515466164	PolyGesture	InputEvent	BeginBatchEdit

1644515466189	PolyGesture	InputEvent	BeginBatchEdit

1644515466888	PolyGesture	InputEvent	SelectionChanged 441 441

1644515466915	PolyGesture	InputEvent	BeginBatchEdit

1644515466930	PolyGesture	InputEvent	BeginBatchEdit

1644515467133	PolyGesture	InputEvent	BeginBatchEdit

1644515467139	PolyGesture	InputEvent	BeginBatchEdit

1644515467160	PolyGesture	InputEvent	BeginBatchEdit

