1644485042541	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf X round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 2 1

1644485042546	PolyGesture	InputEvent	SelectionChanged 104 104

1644485042558	PolyGesture	InputEvent	BeginBatchEdit

1644485042560	PolyGesture	InputEvent	BeginBatchEdit

1644485042561	PolyGesture	InputEvent	BeginBatchEdit

1644485042579	PolyGesture	InputEvent	BeginBatchEdit

1644485042580	PolyGesture	InputEvent	BeginBatchEdit

1644485042580	PolyGesture	InputEvent	BeginBatchEdit

1644485042581	PolyGesture	InputEvent	BeginBatchEdit

1644485042581	PolyGesture	InputEvent	BeginBatchEdit

1644485042595	PolyGesture	InputEvent	BeginBatchEdit

1644485042596	PolyGesture	InputEvent	BeginBatchEdit

1644485042597	PolyGesture	InputEvent	BeginBatchEdit

1644485042598	PolyGesture	InputEvent	BeginBatchEdit

1644485042599	PolyGesture	InputEvent	BeginBatchEdit

1644485042599	PolyGesture	InputEvent	BeginBatchEdit

1644485042613	PolyGesture	InputEvent	BeginBatchEdit

1644485042614	PolyGesture	InputEvent	BeginBatchEdit

1644485042615	PolyGesture	InputEvent	BeginBatchEdit

1644485042616	PolyGesture	InputEvent	BeginBatchEdit

1644485042624	PolyGesture	InputEvent	BeginBatchEdit

1644485042625	PolyGesture	InputEvent	BeginBatchEdit

1644485042664	PolyGesture	InputEvent	BeginBatchEdit

1644485042667	PolyGesture	InputEvent	BeginBatchEdit

1644485042669	PolyGesture	InputEvent	BeginBatchEdit

1644485042676	PolyGesture	InputEvent	SelectionChanged 0 0

1644485042679	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644485042685	PolyGesture	InputEvent	SelectionChanged 103 103

1644485042686	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 1 0

1644485042691	PolyGesture	InputEvent	SelectionChanged 103 103

1644485042700	PolyGesture	InputEvent	BeginBatchEdit

1644485042704	PolyGesture	InputEvent	BeginBatchEdit

1644485042705	PolyGesture	InputEvent	BeginBatchEdit

1644485042709	PolyGesture	InputEvent	BeginBatchEdit

1644485042712	PolyGesture	InputEvent	BeginBatchEdit

1644485042714	PolyGesture	InputEvent	BeginBatchEdit

1644485042717	PolyGesture	InputEvent	BeginBatchEdit

1644485042917	PolyGesture	InputEvent	BeginBatchEdit

1644485043125	PolyGesture	InputEvent	BeginBatchEdit

1644485043132	PolyGesture	InputEvent	SelectionChanged 0 0

1644485043135	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 527 527

1644485043143	PolyGesture	InputEvent	SelectionChanged 102 102

1644485043144	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 102 1 0

1644485043149	PolyGesture	InputEvent	SelectionChanged 102 102

1644485043162	PolyGesture	InputEvent	BeginBatchEdit

1644485043164	PolyGesture	InputEvent	BeginBatchEdit

1644485043165	PolyGesture	InputEvent	BeginBatchEdit

1644485043166	PolyGesture	InputEvent	BeginBatchEdit

1644485043181	PolyGesture	InputEvent	BeginBatchEdit

1644485043182	PolyGesture	InputEvent	BeginBatchEdit

1644485043182	PolyGesture	InputEvent	BeginBatchEdit

1644485043183	PolyGesture	InputEvent	BeginBatchEdit

1644485043195	PolyGesture	InputEvent	BeginBatchEdit

1644485043195	PolyGesture	InputEvent	BeginBatchEdit

1644485043196	PolyGesture	InputEvent	BeginBatchEdit

1644485043198	PolyGesture	InputEvent	BeginBatchEdit

1644485043199	PolyGesture	InputEvent	BeginBatchEdit

1644485043199	PolyGesture	InputEvent	BeginBatchEdit

1644485043219	PolyGesture	InputEvent	BeginBatchEdit

1644485043220	PolyGesture	InputEvent	BeginBatchEdit

1644485043223	PolyGesture	InputEvent	BeginBatchEdit

1644485043224	PolyGesture	InputEvent	BeginBatchEdit

1644485043239	PolyGesture	InputEvent	BeginBatchEdit

1644485043239	PolyGesture	InputEvent	BeginBatchEdit

1644485043429	PolyGesture	InputEvent	BeginBatchEdit

1644485043430	PolyGesture	InputEvent	BeginBatchEdit

