1644484874565	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1644484874571	PolyGesture	InputEvent	SelectionChanged 435 435

1644484874572	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1644484874578	PolyGesture	InputEvent	SelectionChanged 435 435

1644484874586	PolyGesture	InputEvent	BeginBatchEdit

1644484874617	PolyGesture	InputEvent	BeginBatchEdit

1644484874617	PolyGesture	InputEvent	BeginBatchEdit

1644484874623	PolyGesture	InputEvent	BeginBatchEdit

1644484874624	PolyGesture	InputEvent	BeginBatchEdit

1644484874637	PolyGesture	InputEvent	BeginBatchEdit

1644484874639	PolyGesture	InputEvent	BeginBatchEdit

1644484874640	PolyGesture	InputEvent	BeginBatchEdit

1644484874641	PolyGesture	InputEvent	BeginBatchEdit

1644484874643	PolyGesture	InputEvent	BeginBatchEdit

1644484874643	PolyGesture	InputEvent	BeginBatchEdit

1644484874644	PolyGesture	InputEvent	BeginBatchEdit

1644484874843	PolyGesture	InputEvent	BeginBatchEdit

1644484874844	PolyGesture	InputEvent	BeginBatchEdit

1644484875881	PolyGesture	InputEvent	BeginBatchEdit

1644484875894	PolyGesture	InputEvent	BeginBatchEdit

1644484876299	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=60564494, downTime=60564494, deviceId=-1, source=0x101, displayId=0 }

1644484876303	PolyGesture	InputEvent	BeginBatchEdit

1644484876361	PolyGesture	InputEvent	WindowFocusChanged false

1644484876383	PolyGesture	InputEvent	BeginBatchEdit

1644484876384	PolyGesture	InputEvent	BeginBatchEdit

1644484877115	PolyGesture	InputEvent	SelectionChanged 0 0

1644484877115	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644484877202	PolyGesture	InputEvent	SelectionChanged 0 0

1644484877203	PolyGesture	InputEvent	SelectionChanged 0 0

1644484877203	PolyGesture	TaskStarted	Cancella parola

1644484877204	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644484877207	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644484877210	PolyGesture	InputEvent	SelectionChanged 534 534

1644484877230	PolyGesture	InputEvent	FocusChanged true 130 null

1644484877254	PolyGesture	InputEvent	WindowFocusChanged true

1644484878242	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=895.0, y[0]=79.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60566432, downTime=60566432, deviceId=6, source=0x1002, displayId=0 }
1644484878294	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=895.0, y[0]=79.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60566493, downTime=60566432, deviceId=6, source=0x1002, displayId=0 }
1644484878300	PolyGesture	InputEvent	SelectionChanged 109 109

1644484878334	PolyGesture	InputEvent	BeginBatchEdit

1644484878335	PolyGesture	InputEvent	BeginBatchEdit

1644484878337	PolyGesture	InputEvent	BeginBatchEdit

1644484878381	PolyGesture	InputEvent	BeginBatchEdit

1644484878582	PolyGesture	InputEvent	BeginBatchEdit

1644484878583	PolyGesture	InputEvent	BeginBatchEdit

1644484878609	PolyGesture	InputEvent	BeginBatchEdit

1644484879190	PolyGesture	InputEvent	SelectionChanged 109 108

1644484879204	PolyGesture	InputEvent	BeginBatchEdit

1644484879207	PolyGesture	InputEvent	BeginBatchEdit

1644484879364	PolyGesture	InputEvent	SelectionChanged 109 107

1644484879388	PolyGesture	InputEvent	BeginBatchEdit

1644484879391	PolyGesture	InputEvent	BeginBatchEdit

1644484879531	PolyGesture	InputEvent	SelectionChanged 109 106

1644484879554	PolyGesture	InputEvent	BeginBatchEdit

1644484879558	PolyGesture	InputEvent	BeginBatchEdit

1644484879691	PolyGesture	InputEvent	SelectionChanged 109 105

1644484879710	PolyGesture	InputEvent	BeginBatchEdit

1644484879714	PolyGesture	InputEvent	BeginBatchEdit

1644484879846	PolyGesture	InputEvent	SelectionChanged 109 104

1644484879862	PolyGesture	InputEvent	BeginBatchEdit

1644484879865	PolyGesture	InputEvent	BeginBatchEdit

1644484880006	PolyGesture	InputEvent	SelectionChanged 109 103

1644484880024	PolyGesture	InputEvent	BeginBatchEdit

1644484880026	PolyGesture	InputEvent	BeginBatchEdit

1644484880230	PolyGesture	InputEvent	BeginBatchEdit

1644484880232	PolyGesture	InputEvent	BeginBatchEdit

1644484880255	PolyGesture	InputEvent	BeginBatchEdit

1644484880725	PolyGesture	InputEvent	BeginBatchEdit

1644484880727	PolyGesture	InputEvent	SelectionChanged 109 109

1644484880736	PolyGesture	InputEvent	SelectionChanged 0 0

1644484880738	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644484880744	PolyGesture	InputEvent	SelectionChanged 103 103

1644484880745	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1644484880750	PolyGesture	InputEvent	SelectionChanged 103 103

1644484880766	PolyGesture	InputEvent	BeginBatchEdit

1644484880769	PolyGesture	InputEvent	BeginBatchEdit

1644484880770	PolyGesture	InputEvent	BeginBatchEdit

1644484880777	PolyGesture	InputEvent	BeginBatchEdit

1644484880780	PolyGesture	InputEvent	BeginBatchEdit

1644484880783	PolyGesture	InputEvent	BeginBatchEdit

1644484880785	PolyGesture	InputEvent	BeginBatchEdit

1644484880985	PolyGesture	InputEvent	BeginBatchEdit

1644484881423	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=715.0, y[0]=201.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60569612, downTime=60569612, deviceId=6, source=0x1002, displayId=0 }
1644484881476	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=715.0, y[0]=201.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60569675, downTime=60569612, deviceId=6, source=0x1002, displayId=0 }
1644484881488	PolyGesture	InputEvent	SelectionChanged 262 262

1644484881518	PolyGesture	InputEvent	BeginBatchEdit

1644484881527	PolyGesture	InputEvent	BeginBatchEdit

1644484881734	PolyGesture	InputEvent	BeginBatchEdit

1644484881735	PolyGesture	InputEvent	BeginBatchEdit

1644484881758	PolyGesture	InputEvent	BeginBatchEdit

1644484882070	PolyGesture	InputEvent	SelectionChanged 263 263

1644484882094	PolyGesture	InputEvent	BeginBatchEdit

1644484882113	PolyGesture	InputEvent	BeginBatchEdit

1644484882314	PolyGesture	InputEvent	BeginBatchEdit

1644484882317	PolyGesture	InputEvent	BeginBatchEdit

1644484882873	PolyGesture	InputEvent	SelectionChanged 263 262

1644484882893	PolyGesture	InputEvent	BeginBatchEdit

1644484882895	PolyGesture	InputEvent	BeginBatchEdit

1644484883034	PolyGesture	InputEvent	SelectionChanged 263 261

1644484883050	PolyGesture	InputEvent	BeginBatchEdit

1644484883053	PolyGesture	InputEvent	BeginBatchEdit

1644484883202	PolyGesture	InputEvent	SelectionChanged 263 260

1644484883218	PolyGesture	InputEvent	BeginBatchEdit

1644484883222	PolyGesture	InputEvent	BeginBatchEdit

1644484883348	PolyGesture	InputEvent	SelectionChanged 263 259

1644484883365	PolyGesture	InputEvent	BeginBatchEdit

1644484883367	PolyGesture	InputEvent	BeginBatchEdit

1644484883529	PolyGesture	InputEvent	SelectionChanged 263 258

1644484883555	PolyGesture	InputEvent	BeginBatchEdit

1644484883558	PolyGesture	InputEvent	BeginBatchEdit

1644484883688	PolyGesture	InputEvent	SelectionChanged 263 257

1644484883703	PolyGesture	InputEvent	BeginBatchEdit

1644484883705	PolyGesture	InputEvent	BeginBatchEdit

1644484883906	PolyGesture	InputEvent	BeginBatchEdit

1644484883910	PolyGesture	InputEvent	BeginBatchEdit

1644484883928	PolyGesture	InputEvent	BeginBatchEdit

1644484884430	PolyGesture	InputEvent	BeginBatchEdit

1644484884432	PolyGesture	InputEvent	SelectionChanged 263 263

1644484884440	PolyGesture	InputEvent	SelectionChanged 0 0

