1647341811126	PolyGesture	InputEvent	SelectionChanged 511 511

1647341811139	PolyGesture	InputEvent	BeginBatchEdit

1647341811145	PolyGesture	InputEvent	TouchEvent (cursorPosition=511): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=304.7273, y[0]=1274.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=3, eventTime=423800339, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811150	PolyGesture	InputEvent	SelectionChanged 513 513

1647341811170	PolyGesture	InputEvent	BeginBatchEdit

1647341811172	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=341.75378, y[0]=1274.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=3, eventTime=423800361, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811208	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=399.12442, y[0]=1275.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=5, eventTime=423800394, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811224	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=422.159, y[0]=1277.5265, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=3, eventTime=423800417, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811237	PolyGesture	InputEvent	BeginBatchEdit

1647341811237	PolyGesture	InputEvent	BeginBatchEdit

1647341811238	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=432.60156, y[0]=1279.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=2, eventTime=423800428, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811247	PolyGesture	InputEvent	BeginBatchEdit

1647341811255	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=457.41898, y[0]=1280.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=3, eventTime=423800450, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811266	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=470.13882, y[0]=1280.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=1, eventTime=423800461, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
1647341811277	PolyGesture	InputEvent	TouchEvent (cursorPosition=513): MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=486.43808, y[0]=1279.4688, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=2, eventTime=423800472, downTime=423800087, deviceId=6, source=0x1002, displayId=0 }
