1647342550715	PolyGesture	InputEvent	BeginBatchEdit

1647342550718	PolyGesture	InputEvent	BeginBatchEdit

1647342550718	PolyGesture	InputEvent	BeginBatchEdit

1647342550720	PolyGesture	InputEvent	BeginBatchEdit

1647342550922	PolyGesture	InputEvent	BeginBatchEdit

1647342551629	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=719.0, y[0]=213.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=424540820, downTime=424540820, deviceId=6, source=0x1002, displayId=0 }
