1647340694450	PolyGesture	InputEvent	BeginBatchEdit

1647340694456	PolyGesture	InputEvent	BeginBatchEdit

1647340694456	PolyGesture	InputEvent	BeginBatchEdit

1647340694465	PolyGesture	InputEvent	BeginBatchEdit

1647340694468	PolyGesture	InputEvent	BeginBatchEdit

1647340694469	PolyGesture	InputEvent	BeginBatchEdit

1647340694471	PolyGesture	InputEvent	BeginBatchEdit

1647340694674	PolyGesture	InputEvent	BeginBatchEdit

1647340695213	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=853.0, y[0]=311.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422684404, downTime=422684404, deviceId=6, source=0x1002, displayId=0 }
1647340695272	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=853.0, y[0]=311.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422684472, downTime=422684404, deviceId=6, source=0x1002, displayId=0 }
1647340695280	PolyGesture	InputEvent	SelectionChanged 261 261

1647340695301	PolyGesture	InputEvent	BeginBatchEdit

1647340695337	PolyGesture	InputEvent	BeginBatchEdit

1647340695528	PolyGesture	InputEvent	BeginBatchEdit

1647340695925	PolyGesture	InputEvent	TouchEvent (cursorPosition=261): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=872.0, y[0]=300.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422685115, downTime=422685115, deviceId=6, source=0x1002, displayId=0 }
1647340695998	PolyGesture	InputEvent	TouchEvent (cursorPosition=261): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=872.0, y[0]=300.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422685199, downTime=422685115, deviceId=6, source=0x1002, displayId=0 }
1647340696019	PolyGesture	InputEvent	SelectionChanged 262 262

1647340696044	PolyGesture	InputEvent	BeginBatchEdit

1647340696078	PolyGesture	InputEvent	BeginBatchEdit

1647340696286	PolyGesture	InputEvent	BeginBatchEdit

1647340697147	PolyGesture	InputEvent	TouchEvent (cursorPosition=262): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=690.0, y[0]=292.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422686338, downTime=422686338, deviceId=6, source=0x1002, displayId=0 }
1647340697206	PolyGesture	InputEvent	TouchEvent (cursorPosition=262): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=690.0, y[0]=292.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422686406, downTime=422686338, deviceId=6, source=0x1002, displayId=0 }
1647340697224	PolyGesture	InputEvent	SelectionChanged 256 256

1647340697226	PolyGesture	InputEvent	SelectionChanged 262 256

1647340697242	PolyGesture	InputEvent	BeginBatchEdit

1647340697246	PolyGesture	InputEvent	BeginBatchEdit

1647340697247	PolyGesture	InputEvent	BeginBatchEdit

1647340697249	PolyGesture	InputEvent	BeginBatchEdit

1647340697453	PolyGesture	InputEvent	BeginBatchEdit

1647340698150	PolyGesture	InputEvent	BeginBatchEdit

1647340698151	PolyGesture	InputEvent	SelectionChanged 262 262

1647340698159	PolyGesture	InputEvent	SelectionChanged 0 0

