1647341087001	PolyGesture	InputEvent	BeginBatchEdit

1647341087007	PolyGesture	InputEvent	BeginBatchEdit

1647341087008	PolyGesture	InputEvent	BeginBatchEdit

1647341087225	PolyGesture	InputEvent	BeginBatchEdit

1647341087233	PolyGesture	InputEvent	SelectionChanged 0 0

1647341087236	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 527 527

1647341087243	PolyGesture	InputEvent	SelectionChanged 102 102

1647341087244	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 102 1 0

1647341087247	PolyGesture	InputEvent	SelectionChanged 102 102

1647341087256	PolyGesture	InputEvent	BeginBatchEdit

1647341087266	PolyGesture	InputEvent	BeginBatchEdit

1647341087267	PolyGesture	InputEvent	BeginBatchEdit

1647341087279	PolyGesture	InputEvent	BeginBatchEdit

1647341087282	PolyGesture	InputEvent	BeginBatchEdit

1647341087285	PolyGesture	InputEvent	BeginBatchEdit

1647341087288	PolyGesture	InputEvent	BeginBatchEdit

1647341087489	PolyGesture	InputEvent	BeginBatchEdit

1647341087770	PolyGesture	InputEvent	TouchEvent (cursorPosition=102): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=781.0, y[0]=365.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423076961, downTime=423076961, deviceId=6, source=0x1002, displayId=0 }
1647341088077	PolyGesture	InputEvent	SelectionChanged 256 262

1647341088093	PolyGesture	InputEvent	BeginBatchEdit

1647341088097	PolyGesture	InputEvent	BeginBatchEdit

1647341088296	PolyGesture	InputEvent	BeginBatchEdit

1647341088396	PolyGesture	InputEvent	TouchEvent (cursorPosition=256): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=781.0, y[0]=365.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=423077596, downTime=423076961, deviceId=6, source=0x1002, displayId=0 }
1647341088950	PolyGesture	InputEvent	BeginBatchEdit

1647341088978	PolyGesture	InputEvent	SelectionChanged 262 262

1647341088994	PolyGesture	InputEvent	SelectionChanged 0 0

1647341088996	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 521 521

1647341089002	PolyGesture	InputEvent	SelectionChanged 256 256

1647341089003	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 256 6 0

1647341089008	PolyGesture	InputEvent	SelectionChanged 256 256

1647341089017	PolyGesture	InputEvent	BeginBatchEdit

1647341089022	PolyGesture	InputEvent	BeginBatchEdit

1647341089022	PolyGesture	InputEvent	BeginBatchEdit

1647341089030	PolyGesture	InputEvent	BeginBatchEdit

1647341089033	PolyGesture	InputEvent	BeginBatchEdit

1647341089036	PolyGesture	InputEvent	BeginBatchEdit

1647341089039	PolyGesture	InputEvent	BeginBatchEdit

1647341089109	PolyGesture	InputEvent	BeginBatchEdit

1647341089110	PolyGesture	InputEvent	BeginBatchEdit

1647341089117	PolyGesture	InputEvent	SelectionChanged 0 0

1647341089119	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 520 520

1647341089126	PolyGesture	InputEvent	SelectionChanged 255 255

1647341089127	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 255 1 0

