1647343707054	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=914.0, y[0]=75.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425576737, downTime=425576737, deviceId=6, source=0x1002, displayId=0 }
1647343707107	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=914.0, y[0]=75.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425576792, downTime=425576737, deviceId=6, source=0x1002, displayId=0 }
1647343707115	PolyGesture	InputEvent	SelectionChanged 110 110

1647343707116	PolyGesture	InputEvent	SelectionChanged 103 110

1647343707133	PolyGesture	InputEvent	BeginBatchEdit

1647343707136	PolyGesture	InputEvent	BeginBatchEdit

1647343707137	PolyGesture	InputEvent	BeginBatchEdit

1647343707140	PolyGesture	InputEvent	BeginBatchEdit

1647343707341	PolyGesture	InputEvent	BeginBatchEdit

1647343708378	PolyGesture	InputEvent	BeginBatchEdit

1647343708379	PolyGesture	InputEvent	SelectionChanged 110 110

1647343708388	PolyGesture	InputEvent	SelectionChanged 0 0

1647343708391	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 527 527

1647343708397	PolyGesture	InputEvent	SelectionChanged 103 103

1647343708398	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 7 0

1647343708401	PolyGesture	InputEvent	SelectionChanged 103 103

1647343708417	PolyGesture	InputEvent	BeginBatchEdit

1647343708422	PolyGesture	InputEvent	BeginBatchEdit

1647343708424	PolyGesture	InputEvent	BeginBatchEdit

1647343708429	PolyGesture	InputEvent	BeginBatchEdit

1647343708432	PolyGesture	InputEvent	BeginBatchEdit

1647343708436	PolyGesture	InputEvent	BeginBatchEdit

1647343708438	PolyGesture	InputEvent	BeginBatchEdit

1647343708638	PolyGesture	InputEvent	BeginBatchEdit

1647343709125	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=575.0, y[0]=234.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425578801, downTime=425578801, deviceId=6, source=0x1002, displayId=0 }
1647343709193	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=575.0, y[0]=234.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425578878, downTime=425578801, deviceId=6, source=0x1002, displayId=0 }
1647343709200	PolyGesture	InputEvent	SelectionChanged 306 306

1647343709227	PolyGesture	InputEvent	BeginBatchEdit

1647343709264	PolyGesture	InputEvent	BeginBatchEdit

1647343709467	PolyGesture	InputEvent	BeginBatchEdit

1647343709981	PolyGesture	InputEvent	SelectionChanged 255 255

1647343710003	PolyGesture	InputEvent	BeginBatchEdit

1647343710006	PolyGesture	InputEvent	BeginBatchEdit

1647343710208	PolyGesture	InputEvent	BeginBatchEdit

1647343710512	PolyGesture	InputEvent	SelectionChanged 256 256

1647343710532	PolyGesture	InputEvent	BeginBatchEdit

1647343710537	PolyGesture	InputEvent	BeginBatchEdit

1647343710742	PolyGesture	InputEvent	BeginBatchEdit

1647343711260	PolyGesture	InputEvent	TouchEvent (cursorPosition=256): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=720.0, y[0]=230.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425580936, downTime=425580936, deviceId=6, source=0x1002, displayId=0 }
1647343711313	PolyGesture	InputEvent	TouchEvent (cursorPosition=256): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=720.0, y[0]=230.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425580998, downTime=425580936, deviceId=6, source=0x1002, displayId=0 }
1647343711332	PolyGesture	InputEvent	SelectionChanged 262 262

1647343711334	PolyGesture	InputEvent	SelectionChanged 256 262

1647343711348	PolyGesture	InputEvent	BeginBatchEdit

1647343711351	PolyGesture	InputEvent	BeginBatchEdit

1647343711352	PolyGesture	InputEvent	BeginBatchEdit

1647343711355	PolyGesture	InputEvent	BeginBatchEdit

1647343711556	PolyGesture	InputEvent	BeginBatchEdit

1647343712161	PolyGesture	InputEvent	BeginBatchEdit

1647343712162	PolyGesture	InputEvent	SelectionChanged 262 262

1647343712172	PolyGesture	InputEvent	SelectionChanged 0 0

1647343712175	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That l is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1647343712182	PolyGesture	InputEvent	SelectionChanged 257 257

1647343712183	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That l is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 256 6 1

1647343712186	PolyGesture	InputEvent	SelectionChanged 257 257

1647343712201	PolyGesture	InputEvent	BeginBatchEdit

1647343712208	PolyGesture	InputEvent	BeginBatchEdit

1647343712208	PolyGesture	InputEvent	BeginBatchEdit

1647343712216	PolyGesture	InputEvent	BeginBatchEdit

1647343712218	PolyGesture	InputEvent	BeginBatchEdit

1647343712218	PolyGesture	InputEvent	BeginBatchEdit

1647343712220	PolyGesture	InputEvent	BeginBatchEdit

1647343712422	PolyGesture	InputEvent	BeginBatchEdit

1647343712816	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=62.0, y[0]=434.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425582500, downTime=425582500, deviceId=6, source=0x1002, displayId=0 }
1647343712841	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=62.0, y[0]=434.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=425582526, downTime=425582500, deviceId=6, source=0x1002, displayId=0 }
1647343712848	PolyGesture	InputEvent	SelectionChanged 495 495

1647343712873	PolyGesture	InputEvent	BeginBatchEdit

1647343712910	PolyGesture	InputEvent	BeginBatchEdit

1647343713120	PolyGesture	InputEvent	BeginBatchEdit

1647343713617	PolyGesture	InputEvent	SelectionChanged 441 441

1647343713635	PolyGesture	InputEvent	BeginBatchEdit

1647343713656	PolyGesture	InputEvent	BeginBatchEdit

1647343713858	PolyGesture	InputEvent	BeginBatchEdit

1647343713876	PolyGesture	InputEvent	SelectionChanged 440 440

1647343713890	PolyGesture	InputEvent	BeginBatchEdit

1647343713902	PolyGesture	InputEvent	BeginBatchEdit

1647343714104	PolyGesture	InputEvent	BeginBatchEdit

1647343714629	PolyGesture	InputEvent	SelectionChanged 441 441

