1644603463765	PolyGesture	InputEvent	BeginBatchEdit

1644603463961	PolyGesture	InputEvent	BeginBatchEdit

1644603463969	PolyGesture	InputEvent	SelectionChanged 0 0

1644603463972	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 526 526

1644603463980	PolyGesture	InputEvent	SelectionChanged 262 262

1644603463981	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 262 1 0

1644603463987	PolyGesture	InputEvent	SelectionChanged 262 262

1644603463999	PolyGesture	InputEvent	BeginBatchEdit

1644603464001	PolyGesture	InputEvent	BeginBatchEdit

1644603464002	PolyGesture	InputEvent	BeginBatchEdit

1644603464020	PolyGesture	InputEvent	BeginBatchEdit

1644603464021	PolyGesture	InputEvent	BeginBatchEdit

1644603464021	PolyGesture	InputEvent	BeginBatchEdit

1644603464022	PolyGesture	InputEvent	BeginBatchEdit

1644603464022	PolyGesture	InputEvent	BeginBatchEdit

1644603464032	PolyGesture	InputEvent	BeginBatchEdit

1644603464033	PolyGesture	InputEvent	BeginBatchEdit

1644603464036	PolyGesture	InputEvent	BeginBatchEdit

1644603464036	PolyGesture	InputEvent	BeginBatchEdit

1644603464234	PolyGesture	InputEvent	BeginBatchEdit

1644603464235	PolyGesture	InputEvent	BeginBatchEdit

1644603464493	PolyGesture	InputEvent	BeginBatchEdit

1644603464503	PolyGesture	InputEvent	SelectionChanged 0 0

1644603464506	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 525 525

1644603464513	PolyGesture	InputEvent	SelectionChanged 261 261

1644603464514	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 261 1 0

1644603464520	PolyGesture	InputEvent	SelectionChanged 261 261

1644603464528	PolyGesture	InputEvent	BeginBatchEdit

1644603464532	PolyGesture	InputEvent	BeginBatchEdit

1644603464533	PolyGesture	InputEvent	BeginBatchEdit

1644603464534	PolyGesture	InputEvent	BeginBatchEdit

1644603464545	PolyGesture	InputEvent	BeginBatchEdit

1644603464547	PolyGesture	InputEvent	BeginBatchEdit

1644603464548	PolyGesture	InputEvent	BeginBatchEdit

1644603464549	PolyGesture	InputEvent	BeginBatchEdit

1644603464550	PolyGesture	InputEvent	BeginBatchEdit

1644603464551	PolyGesture	InputEvent	BeginBatchEdit

1644603464551	PolyGesture	InputEvent	BeginBatchEdit

1644603464566	PolyGesture	InputEvent	BeginBatchEdit

1644603464753	PolyGesture	InputEvent	BeginBatchEdit

1644603464755	PolyGesture	InputEvent	BeginBatchEdit

1644603465093	PolyGesture	InputEvent	BeginBatchEdit

1644603465106	PolyGesture	InputEvent	SelectionChanged 0 0

1644603465109	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 524 524

1644603465115	PolyGesture	InputEvent	SelectionChanged 260 260

1644603465116	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 260 1 0

1644603465121	PolyGesture	InputEvent	SelectionChanged 260 260

1644603465131	PolyGesture	InputEvent	BeginBatchEdit

1644603465135	PolyGesture	InputEvent	BeginBatchEdit

1644603465135	PolyGesture	InputEvent	BeginBatchEdit

1644603465136	PolyGesture	InputEvent	BeginBatchEdit

1644603465148	PolyGesture	InputEvent	BeginBatchEdit

1644603465150	PolyGesture	InputEvent	BeginBatchEdit

1644603465150	PolyGesture	InputEvent	BeginBatchEdit

1644603465152	PolyGesture	InputEvent	BeginBatchEdit

1644603465153	PolyGesture	InputEvent	BeginBatchEdit

1644603465155	PolyGesture	InputEvent	BeginBatchEdit

1644603465156	PolyGesture	InputEvent	BeginBatchEdit

1644603465156	PolyGesture	InputEvent	BeginBatchEdit

1644603465357	PolyGesture	InputEvent	BeginBatchEdit

1644603465360	PolyGesture	InputEvent	BeginBatchEdit

1644603465588	PolyGesture	InputEvent	BeginBatchEdit

1644603465598	PolyGesture	InputEvent	SelectionChanged 0 0

1644603465600	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXis Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 523 523

1644603465606	PolyGesture	InputEvent	SelectionChanged 259 259

