1644605206985	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 309 3 2

1644605206990	PolyGesture	InputEvent	SelectionChanged 311 311

1644605207001	PolyGesture	InputEvent	BeginBatchEdit

1644605207003	PolyGesture	InputEvent	BeginBatchEdit

1644605207003	PolyGesture	InputEvent	BeginBatchEdit

1644605207004	PolyGesture	InputEvent	BeginBatchEdit

1644605207022	PolyGesture	InputEvent	BeginBatchEdit

1644605207023	PolyGesture	InputEvent	BeginBatchEdit

1644605207024	PolyGesture	InputEvent	BeginBatchEdit

1644605207024	PolyGesture	InputEvent	BeginBatchEdit

1644605207035	PolyGesture	InputEvent	BeginBatchEdit

1644605207035	PolyGesture	InputEvent	BeginBatchEdit

1644605207037	PolyGesture	InputEvent	BeginBatchEdit

1644605207038	PolyGesture	InputEvent	BeginBatchEdit

1644605207040	PolyGesture	InputEvent	BeginBatchEdit

1644605207041	PolyGesture	InputEvent	BeginBatchEdit

1644605207041	PolyGesture	InputEvent	BeginBatchEdit

1644605207042	PolyGesture	InputEvent	BeginBatchEdit

1644605207056	PolyGesture	InputEvent	BeginBatchEdit

1644605207057	PolyGesture	InputEvent	BeginBatchEdit

1644605207078	PolyGesture	InputEvent	BeginBatchEdit

1644605207078	PolyGesture	InputEvent	BeginBatchEdit

1644605207260	PolyGesture	InputEvent	BeginBatchEdit

1644605207262	PolyGesture	InputEvent	BeginBatchEdit

1644605207730	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=672.0, y[0]=542.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30458646, downTime=30458646, deviceId=4, source=0x1002, displayId=0 }
1644605207804	PolyGesture	InputEvent	TouchEvent (cursorPosition=311): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=672.0, y[0]=542.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30458729, downTime=30458646, deviceId=4, source=0x1002, displayId=0 }
1644605207816	PolyGesture	InputEvent	SelectionChanged 436 436

1644605207842	PolyGesture	InputEvent	BeginBatchEdit

1644605207870	PolyGesture	InputEvent	BeginBatchEdit

1644605208072	PolyGesture	InputEvent	BeginBatchEdit

1644605208083	PolyGesture	InputEvent	BeginBatchEdit

1644605208107	PolyGesture	InputEvent	BeginBatchEdit

1644605209077	PolyGesture	InputEvent	BeginBatchEdit

1644605209099	PolyGesture	InputEvent	SelectionChanged 0 0

1644605209101	PolyGesture	TaskCompleted	Cancella carattere in 9"181 seconds (at 30460027, effective time: 8"180)

***************************************


1644605209108	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 0 513 513

1644605209114	PolyGesture	InputEvent	SelectionChanged 435 435

1644605209114	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little village where he had been so often lately was that no one knew who he was.' 435 1 0

1644605209118	PolyGesture	InputEvent	SelectionChanged 435 435

1644605209126	PolyGesture	InputEvent	BeginBatchEdit

1644605209153	PolyGesture	InputEvent	BeginBatchEdit

1644605209154	PolyGesture	InputEvent	BeginBatchEdit

1644605209155	PolyGesture	InputEvent	BeginBatchEdit

1644605209171	PolyGesture	InputEvent	BeginBatchEdit

1644605209174	PolyGesture	InputEvent	BeginBatchEdit

1644605209176	PolyGesture	InputEvent	BeginBatchEdit

1644605209181	PolyGesture	InputEvent	BeginBatchEdit

1644605209182	PolyGesture	InputEvent	BeginBatchEdit

1644605209185	PolyGesture	InputEvent	BeginBatchEdit

1644605209188	PolyGesture	InputEvent	BeginBatchEdit

1644605209189	PolyGesture	InputEvent	BeginBatchEdit

1644605209388	PolyGesture	InputEvent	BeginBatchEdit

1644605209388	PolyGesture	InputEvent	BeginBatchEdit

1644605211104	PolyGesture	InputEvent	BeginBatchEdit

1644605211123	PolyGesture	InputEvent	BeginBatchEdit

1644605211626	PolyGesture	InputEvent	KeyDown 4 KeyEvent { action=ACTION_DOWN, keyCode=KEYCODE_BACK, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=30462543, downTime=30462543, deviceId=-1, source=0x101, displayId=0 }

1644605211628	PolyGesture	InputEvent	BeginBatchEdit

1644605211682	PolyGesture	InputEvent	WindowFocusChanged false

1644605211692	PolyGesture	InputEvent	BeginBatchEdit

1644605211693	PolyGesture	InputEvent	BeginBatchEdit

1644605220927	PolyGesture	InputEvent	SelectionChanged 0 0

1644605220928	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644605220979	PolyGesture	InputEvent	SelectionChanged 0 0

1644605220980	PolyGesture	InputEvent	SelectionChanged 0 0

1644605220980	PolyGesture	TaskStarted	Cancella parola

1644605220981	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 534 534

1644605220985	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 0 534

1644605220989	PolyGesture	InputEvent	SelectionChanged 534 534

1644605221008	PolyGesture	InputEvent	FocusChanged true 130 null

1644605221029	PolyGesture	InputEvent	WindowFocusChanged true

1644605222017	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=337.0, y[0]=147.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30472933, downTime=30472933, deviceId=4, source=0x1002, displayId=0 }
1644605222098	PolyGesture	InputEvent	TouchEvent (cursorPosition=534): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=337.0, y[0]=147.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=30473023, downTime=30472933, deviceId=4, source=0x1002, displayId=0 }
1644605222110	PolyGesture	InputEvent	SelectionChanged 109 109

1644605222139	PolyGesture	InputEvent	BeginBatchEdit

1644605222140	PolyGesture	InputEvent	BeginBatchEdit

1644605222151	PolyGesture	InputEvent	BeginBatchEdit

1644605222160	PolyGesture	InputEvent	BeginBatchEdit

1644605222361	PolyGesture	InputEvent	BeginBatchEdit

1644605222372	PolyGesture	InputEvent	BeginBatchEdit

1644605222398	PolyGesture	InputEvent	BeginBatchEdit

1644605223022	PolyGesture	InputEvent	BeginBatchEdit

1644605223045	PolyGesture	InputEvent	SelectionChanged 0 0

1644605223048	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 533 533

1644605223055	PolyGesture	InputEvent	SelectionChanged 108 108

1644605223056	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf XXXXX round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 5

1644605223061	PolyGesture	InputEvent	SelectionChanged 108 108

1644605223075	PolyGesture	InputEvent	BeginBatchEdit

1644605223077	PolyGesture	InputEvent	BeginBatchEdit

1644605223077	PolyGesture	InputEvent	BeginBatchEdit

1644605223080	PolyGesture	InputEvent	BeginBatchEdit

1644605223101	PolyGesture	InputEvent	BeginBatchEdit

1644605223102	PolyGesture	InputEvent	BeginBatchEdit

1644605223103	PolyGesture	InputEvent	BeginBatchEdit

1644605223103	PolyGesture	InputEvent	BeginBatchEdit

1644605223135	PolyGesture	InputEvent	BeginBatchEdit

1644605223135	PolyGesture	InputEvent	BeginBatchEdit

